,DSP,0
353,30.0,51.44395
354,85.0,74.446205
355,60.0,74.350494
356,45.0,67.119026
357,5.0,55.342922
358,65.0,78.4097
359,30.0,58.198788
360,50.0,60.43706
361,95.0,73.16346
362,5.0,45.65472
363,45.0,59.061478
364,75.0,82.64638
365,85.0,64.35373
366,5.0,44.388794
367,60.0,81.07795
368,85.0,85.963005
369,45.0,66.049385
370,60.0,69.90481
371,30.0,45.356247
372,5.0,69.70318
373,30.0,72.206985
374,60.0,63.796463
375,60.0,60.04749
376,75.0,93.5255
377,50.0,60.76414
378,95.0,81.15099
379,30.0,63.927906
380,45.0,54.34464
381,60.0,69.5944
382,30.0,72.354416
383,5.0,51.07419
384,65.0,71.96191
385,45.0,63.43009
386,75.0,93.73197
387,30.0,50.25611
388,45.0,57.34312
389,85.0,92.65881
390,75.0,67.45149
391,60.0,70.98333
392,5.0,74.98178
393,5.0,64.46568
394,45.0,64.05951
395,65.0,72.65271
396,5.0,56.0151
397,85.0,90.83981
398,30.0,73.061104
399,85.0,70.38586
400,75.0,78.43272
401,30.0,48.518627
402,45.0,62.34335
403,45.0,61.60747
404,60.0,71.01406
405,5.0,62.513573
406,5.0,51.97041
407,75.0,78.78855
408,85.0,70.252235
409,95.0,96.32243
410,50.0,67.48477
411,60.0,62.302402
412,65.0,79.07625
413,30.0,82.57922
414,30.0,46.196632
415,5.0,64.89773
416,30.0,42.270035
417,60.0,76.70236
418,85.0,66.53483
419,90.0,79.195526
420,65.0,81.238945
421,45.0,78.239815
422,80.0,74.60523
423,5.0,43.83051
424,45.0,62.0633
425,30.0,42.155087
426,75.0,87.649864
427,45.0,68.523506
428,30.0,66.071754
429,30.0,59.275925
430,95.0,83.05348
431,30.0,51.49699
432,30.0,51.910748
433,30.0,54.030365
434,60.0,68.07435
435,85.0,87.58227
436,95.0,59.471947
437,5.0,59.82397
438,85.0,57.118343
439,100.0,60.25766
440,5.0,64.58204
441,50.0,55.581135
442,75.0,78.28768
443,90.0,83.77075
444,90.0,73.352806
445,60.0,67.07035
446,85.0,76.49537
447,75.0,79.4039
448,50.0,59.87442
449,5.0,36.43616
450,30.0,54.59353
451,45.0,62.78293
452,85.0,57.051403
453,50.0,57.02
454,95.0,72.32797
455,50.0,62.22922
456,80.0,83.41983
457,45.0,61.877438
458,60.0,75.98611
459,95.0,74.119225
460,30.0,74.85483
461,30.0,70.23578
462,75.0,85.44213
463,60.0,78.09405
464,85.0,78.441154
465,60.0,70.494026
466,50.0,54.52956
467,95.0,76.7754
468,95.0,98.97342
469,85.0,71.08141
470,80.0,88.71751
471,75.0,81.9747
472,60.0,82.64978
473,50.0,62.318676
474,85.0,77.33569
475,5.0,45.649754
476,65.0,70.70815
477,60.0,63.62383
478,5.0,69.84425
479,75.0,85.40887
480,80.0,76.654854
481,80.0,76.33962
482,60.0,71.88705
483,100.0,71.381584
484,65.0,83.81377
485,5.0,29.013285
486,75.0,61.488003
487,30.0,50.64702
488,100.0,67.71842
489,5.0,33.21369
490,85.0,91.86794
491,5.0,69.05044
492,5.0,72.155846
493,95.0,99.40244
494,45.0,66.31118
