,CON,0
409,5.0,24.88677
410,100.0,29.963799
411,5.0,21.20688
412,100.0,35.549675
413,100.0,38.99764
414,5.0,32.26728
415,5.0,27.028284
416,100.0,31.35211
417,100.0,39.421833
418,5.0,27.269411
419,5.0,29.794107
420,5.0,24.606112
421,100.0,34.645023
422,100.0,33.3436
423,80.0,46.65947
424,90.0,31.859282
425,5.0,30.325262
426,5.0,25.069073
427,5.0,29.653313
428,100.0,28.303707
429,80.0,30.428148
430,5.0,28.463875
431,5.0,23.26341
432,5.0,39.793797
433,5.0,20.078661
434,95.0,39.030025
435,90.0,47.834915
436,80.0,26.013731
437,5.0,28.09002
438,100.0,38.38144
439,5.0,26.21153
440,100.0,38.254856
441,80.0,37.853394
442,80.0,31.261194
443,90.0,37.469624
444,5.0,24.25438
445,5.0,34.333145
446,5.0,28.563374
447,5.0,25.228355
448,80.0,39.94394
449,5.0,10.943025
450,90.0,28.43059
451,5.0,22.199347
452,95.0,33.46642
453,85.0,32.78387
454,5.0,27.308516
455,5.0,25.331902
456,100.0,39.73183
457,100.0,42.069965
458,5.0,24.21981
459,100.0,30.808414
460,100.0,47.356514
461,100.0,30.360678
462,5.0,28.76
463,5.0,27.702374
464,90.0,46.491306
465,5.0,32.89786
466,5.0,36.2374
467,5.0,20.519417
468,90.0,25.414457
469,5.0,26.852549
470,95.0,31.065979
471,5.0,25.716919
472,100.0,39.18704
473,5.0,36.741074
474,5.0,20.671906
475,5.0,23.011974
476,5.0,25.5291
477,5.0,16.364786
478,100.0,43.146175
479,95.0,47.14394
480,100.0,39.262653
481,5.0,31.591444
482,5.0,21.972298
483,5.0,36.487568
484,80.0,21.293089
485,100.0,37.989296
486,5.0,27.916521
487,100.0,36.951492
488,90.0,37.027637
489,100.0,40.050236
490,5.0,23.980696
491,80.0,45.642773
492,90.0,35.586655
493,5.0,28.606503
494,100.0,28.086763
