,INTIMACY,0
0,1.666666667,16.039793
1,1.0,15.753028
2,1.333333333,14.003611
3,0.67,15.145713
4,0.0,13.630188
5,0.0,12.920468
6,0.0,10.894175
7,1.666666667,17.069912
8,0.67,12.72698
9,4.0,16.757483
10,1.33,14.834969
11,0.0,12.644607
12,0.0,13.903971
13,0.0,12.2124605
14,0.0,10.34089
15,2.0,14.3378
16,1.333333333,16.349981
17,0.0,14.573094
18,1.333333333,13.342452
19,2.666666667,16.253595
20,2.333333333,17.71381
21,0.0,14.326813
22,0.0,13.9175
23,1.666666667,13.8707485
24,0.0,11.884774
25,0.0,9.283447
26,1.333333333,15.284683
27,1.0,13.074092
28,0.0,14.096962
29,0.0,12.459165
30,2.0,14.615248
31,4.0,17.52582
32,0.67,13.724217
33,0.67,13.338179
34,0.0,13.323027
35,0.67,12.670275
36,0.0,10.365562
37,0.0,13.899357
38,0.0,10.633036
39,0.33,12.766908
40,2.0,15.697332
41,0.0,12.264361
42,0.0,11.580373
43,1.0,14.867152
44,0.0,9.731112
45,1.333333333,13.236984
46,4.0,18.589602
47,0.0,12.778528
48,1.333333333,15.326895
49,1.0,13.100497
50,0.0,11.849675
