,CALLOUSNESS,0
202,0.5,18.616684
203,0.25,17.167738
204,0.0,15.594062
205,0.0,18.174198
206,1.5,25.10713
207,0.0,16.84618
208,0.75,18.412043
209,0.0,21.168633
210,1.25,22.01913
211,0.0,13.723554
212,0.0,19.2984
213,0.0,17.828793
214,0.0,18.107418
215,0.0,15.8001995
216,0.0,16.44879
217,0.5,20.111797
218,0.0,14.691227
219,1.25,22.415432
220,0.25,19.745432
221,0.0,19.185492
222,0.0,21.089367
223,0.0,18.572643
224,0.25,17.432423
225,0.0,19.96282
226,0.0,14.31974
227,0.0,16.936527
228,0.5,17.86908
229,1.0,18.532015
230,0.75,18.180027
231,0.0,19.763344
232,0.25,17.239578
233,2.0,21.476234
234,1.25,21.193932
235,0.0,14.614286
236,1.0,20.955956
237,0.75,17.574442
238,1.25,21.020676
239,0.75,17.22321
240,0.0,15.131688
241,0.0,18.134327
242,0.0,19.212345
243,0.25,15.091365
244,0.0,18.356117
245,0.25,18.07787
246,0.0,20.63012
247,1.5,22.55423
248,0.0,14.3235035
249,0.25,18.536005
250,0.0,19.817581
251,2.5,22.66758
252,2.25,21.1318
253,0.0,18.648323
254,0.25,17.164452
255,0.0,16.576836
256,0.0,16.710497
257,0.0,17.95894
258,0.5,20.607086
259,0.0,17.180546
260,1.75,22.385704
261,0.0,17.284554
262,0.0,17.684324
263,0.0,22.146051
264,0.0,14.281999
265,1.5,24.013496
266,0.0,16.240639
267,0.0,16.92189
268,0.0,19.358448
269,0.0,19.693771
270,0.0,18.47044
271,0.0,13.995753
272,0.0,14.5921955
273,1.5,25.46918
274,0.0,22.647533
275,0.0,20.137072
276,0.0,16.439548
277,0.0,17.829033
278,0.0,14.002771
279,0.0,17.33892
280,0.0,18.743893
281,1.25,20.851837
282,0.0,18.436806
283,1.5,20.43502
284,2.25,20.877052
285,0.25,17.35347
286,0.0,20.154625
287,0.25,15.903023
288,2.75,21.589394
289,1.5,18.434786
290,0.0,18.249
291,0.0,19.987778
292,0.0,18.525131
293,0.25,16.070024
294,2.0,20.240873
295,0.25,19.894352
296,2.25,20.824558
297,0.0,17.692623
298,0.0,15.787369
299,0.0,17.220215
300,0.0,14.608902
301,0.25,14.721373
302,0.5,16.607582
303,0.0,17.139547
304,0.25,17.513008
305,0.0,16.970362
306,0.0,14.856977
307,0.0,17.63142
308,0.0,16.570316
309,0.0,12.791038
310,0.0,17.551598
311,0.25,17.79669
312,0.0,14.685392
313,0.0,20.302773
314,0.0,18.129246
315,0.0,15.426902
316,0.0,19.194813
317,0.0,16.294024
318,1.25,20.109085
319,0.25,18.545937
320,0.0,21.464005
321,0.0,15.915583
322,0.25,17.164114
323,0.0,17.197334
324,0.75,19.789707
325,0.0,18.497564
326,0.25,18.665005
327,1.5,22.647522
328,0.0,15.409348
329,0.0,17.297953
330,0.0,15.170689
331,0.0,16.135311
332,1.5,22.180218
333,0.0,14.874792
334,0.5,20.128357
335,1.5,21.965883
336,0.25,18.941723
337,0.0,16.959103
338,1.75,18.891453
339,0.75,18.085342
340,0.25,15.654694
341,0.0,17.986488
342,2.0,23.824219
343,0.0,22.302937
344,0.0,12.395401
345,0.0,18.55043
346,1.0,19.595688
347,1.0,16.585419
348,1.5,16.801895
349,0.0,15.045347
350,0.0,19.221394
351,0.5,16.773098
352,0.0,18.404812
353,0.0,17.099047
354,1.0,20.059702
355,0.0,15.757027
356,0.0,17.986626
357,0.0,17.040516
358,0.0,14.96309
359,0.0,15.390669
360,2.0,24.69288
361,0.0,18.306013
362,1.25,18.701536
363,0.0,14.193942
364,1.0,21.035448
365,1.0,19.702345
366,0.0,17.970512
367,1.0,22.811434
368,0.0,17.611748
369,0.75,20.382921
370,0.0,11.85767
371,0.0,16.734055
372,2.0,21.112038
373,0.25,14.789933
374,0.25,17.631401
375,1.25,22.479713
376,0.0,17.916561
377,0.0,17.704765
378,1.0,20.753942
379,0.0,15.208077
380,0.25,21.676544
381,1.25,20.29428
382,1.5,22.029776
383,0.75,18.884024
384,0.0,15.903828
385,0.0,17.467999
386,0.0,17.969181
387,0.0,19.168716
388,0.0,15.084042
389,0.0,18.847204
390,0.0,15.217619
391,0.25,16.08366
392,0.0,15.411697
393,0.0,21.755524
394,1.75,24.139275
395,0.25,18.370113
396,0.0,18.187754
397,0.25,18.256424
398,0.0,16.171333
399,0.0,16.744629
400,0.75,17.155254
401,0.5,16.492634
402,1.5,21.320456
403,0.0,17.730078
404,0.0,18.530455
405,0.0,14.96343
406,0.0,17.57751
407,0.0,15.326258
408,0.0,17.936016
409,0.25,14.572549
410,0.0,19.78733
411,0.0,16.675587
412,0.0,17.361835
413,0.0,18.098343
414,0.0,16.790808
415,0.0,18.556536
