,COND_PR,0
0,50.0,49.277283
1,59.0,49.691345
2,41.9047619,43.785892
3,38.0,44.6756
4,38.0,42.291237
5,42.0,44.35012
6,38.0,38.86125
7,59.0,51.486828
8,42.0,48.87452
9,40.0,43.84416
10,44.0,43.91203
11,40.0,42.700077
12,38.0,44.44549
13,40.0,42.187073
14,42.0,43.660763
15,38.0,45.571655
16,40.0,47.81717
17,56.0,50.5662
18,56.0,45.724735
19,39.95238095,41.3889
20,38.0,48.236748
21,38.0,47.700188
22,38.0,41.68203
23,42.0,44.832268
24,38.0,42.266296
25,44.0,45.800232
26,40.0,43.887268
27,37.0,45.228874
28,97.0,47.97386
29,49.0,48.112816
30,54.0,46.801716
31,51.66666667,44.412212
32,38.0,45.915565
33,37.0,44.79673
34,39.95238095,41.45693
35,52.0,49.35611
36,51.0,46.242905
37,42.0,44.353733
38,57.52380952,51.81143
39,46.0,46.64985
40,34.0,44.115273
41,48.0,49.953102
42,38.0,50.39279
43,37.0,47.993286
44,47.76190476,49.4631
45,53.0,48.76526
46,39.95238095,44.616158
47,46.0,48.565647
48,37.0,45.763454
49,49.71428571,50.39331
50,49.71428571,50.474594
51,42.0,43.617783
52,40.0,45.251442
53,46.0,48.465706
54,41.0,46.272923
55,46.0,48.303467
56,49.71428571,45.163845
57,46.0,43.147964
58,46.0,51.69742
59,61.0,52.83918
60,38.0,39.99318
61,43.85714286,47.303383
62,75.0,53.778954
63,59.0,50.608147
64,42.0,45.477036
65,53.0,53.336708
66,89.0,44.038067
67,44.0,45.275185
68,39.7037037,46.83776
69,53.0,47.410088
70,40.0,45.695885
71,50.51851852,46.419685
72,46.0,49.571014
73,43.0,46.381096
74,77.0,47.774242
75,98.0,45.63476
76,49.0,51.323685
77,51.0,46.263885
78,38.0,42.30531
79,52.0,50.756275
80,88.0,47.359688
81,38.0,40.78269
82,43.85714286,45.18546
83,56.0,51.78589
84,60.0,53.30018
85,41.0,47.088074
86,40.0,43.658504
87,34.0,43.343655
88,39.95238095,44.27876
89,42.0,44.02544
90,51.66666667,52.536373
91,59.0,50.667473
92,38.0,42.422943
93,75.0,50.610794
94,48.0,49.749428
95,40.0,46.161343
96,38.0,40.850998
97,64.0,49.46681
98,49.0,50.35067
99,46.0,48.174
100,50.0,48.21602
101,48.0,50.508842
102,75.0,43.875732
103,37.0,44.062473
104,38.0,47.5343
105,38.0,44.771393
106,52.0,48.38842
107,37.0,40.439888
108,56.0,45.528538
109,62.66666667,48.557236
110,50.0,47.24935
111,38.0,46.906967
112,43.0,45.498222
113,38.0,39.48697
114,42.0,46.107395
115,34.0,49.78856
116,41.0,44.35333
117,51.0,53.886345
118,34.0,43.571117
119,53.0,54.98053
120,42.0,45.25917
121,38.0,44.069267
122,38.0,41.150646
123,39.95238095,49.73457
124,41.9047619,43.53017
125,51.7037037,46.113052
126,50.0,52.001324
127,41.0,44.25061
128,56.0,47.760693
129,38.0,48.708992
130,59.0,61.27851
131,38.0,44.654266
132,37.18518519,45.30407
133,42.0,47.65677
134,38.0,46.088665
135,38.0,40.820644
136,43.85714286,45.893406
137,44.0,45.04605
138,39.95238095,42.40601
139,39.95238095,44.91648
140,41.9047619,44.133392
141,45.0,47.55079
142,42.40740741,44.99656
143,80.0,46.092953
144,43.48148148,49.440033
145,49.71428571,45.55309
146,38.0,45.223087
147,44.0,43.680267
148,44.0,45.53483
149,52.0,49.122948
150,37.0,47.234837
151,34.0,40.471416
152,56.0,42.91342
153,41.9047619,43.978947
154,47.0,49.219406
155,38.0,40.08506
156,91.0,50.676556
157,77.0,43.61023
158,56.0,46.8958
159,48.96296296,49.845665
160,46.0,45.659904
161,50.51851852,45.645695
162,51.0,46.745544
163,45.80952381,46.98137
164,46.0,47.678314
165,45.80952381,43.60927
166,70.88888889,56.308056
167,55.0,46.233322
168,50.0,53.12174
169,42.0,43.409267
170,37.0,50.122917
171,41.0,44.98992
172,42.0,43.61157
173,42.0,44.378647
174,52.0,48.95204
175,69.0,47.68153
176,89.0,46.681145
177,38.0,47.324066
178,45.0,46.624264
179,38.0,45.290573
180,39.95238095,42.48375
181,79.0,48.54745
182,46.0,47.880356
183,34.0,44.91456
184,43.48148148,45.79467
185,53.61904762,45.171917
186,48.0,48.187256
187,53.61904762,50.625153
188,59.0,52.670475
189,40.0,46.02424
190,37.0,42.256035
191,59.0,45.392696
192,46.0,48.09238
193,43.85714286,46.440903
194,66.0,56.539124
195,38.0,42.420795
196,45.80952381,47.460144
197,48.0,49.756172
198,34.0,49.209877
199,54.0,51.89068
200,40.0,47.95614
201,53.61904762,46.15142
202,46.0,47.07534
203,38.0,41.890038
204,40.0,44.06652
205,41.0,44.67211
206,60.0,50.066128
207,68.0,45.789948
208,54.0,48.725315
209,43.48148148,44.691982
210,73.0,55.124504
211,38.0,48.13379
212,38.0,40.56759
213,63.0,47.272858
214,48.0,48.908226
215,59.0,46.460793
216,59.92592593,41.100197
217,51.0,50.935135
218,44.0,47.117004
219,63.0,49.885574
220,68.0,44.572845
221,53.0,49.341175
222,37.0,47.776592
223,46.0,47.54181
224,54.0,51.326065
225,44.0,45.154713
226,44.0,50.757957
227,59.92592593,46.991226
228,75.0,45.777313
229,75.0,47.491833
230,61.0,43.216984
231,52.0,50.880474
232,55.0,51.115463
233,38.0,40.45339
234,53.0,47.811546
235,68.0,48.724277
