,EMOTIONAL_LABILITY,0
287,2.0,12.37314
288,2.0,12.30594
289,0.0,8.12676
290,2.25,12.643257
291,1.25,10.438376
292,1.25,10.627047
293,0.5,7.384806
294,0.75,10.111861
295,1.75,11.961186
296,2.0,11.9873
297,1.0,11.939378
298,2.0,12.012124
299,1.0,13.2501135
300,0.0,13.793895
301,0.75,9.097114
302,2.5,10.338386
303,0.75,9.066166
304,0.0,9.3919115
305,0.75,8.618912
306,1.75,8.934093
307,0.5,9.969269
308,0.0,2.2850251
309,1.5,12.565237
310,1.0,10.146077
311,0.5,6.6384864
312,1.25,12.712169
313,0.75,8.271249
314,0.0,6.7348714
315,0.75,9.015734
316,0.75,11.445677
317,0.25,8.974506
318,1.75,9.79156
319,1.75,14.363692
320,0.0,2.8464952
321,0.75,10.043662
322,3.0,13.076828
323,1.25,12.111629
324,2.0,10.9560995
325,0.0,10.412322
326,1.0,12.638127
327,1.0,9.782438
328,0.75,5.719565
329,0.75,7.8684506
330,0.0,6.88854
331,1.0,6.553997
332,0.0,11.624049
333,2.5,12.003986
334,0.0,4.7045712
335,0.5,6.845744
336,0.25,12.955446
337,3.0,14.002046
338,0.25,8.397204
339,1.0,6.651864
340,0.0,4.4396663
341,0.0,6.630289
342,1.0,13.628856
343,0.5,8.967074
344,0.25,7.3809323
345,1.25,10.211049
346,0.0,9.321757
347,1.0,12.271768
348,1.5,12.884726
349,0.0,3.8838625
350,2.5,11.513883
351,0.25,5.907985
352,0.5,7.6198297
353,0.25,11.494504
354,0.25,12.278493
355,0.25,9.046054
356,0.0,7.9047465
357,1.25,8.648557
358,1.0,12.529941
359,0.25,6.2291746
360,2.0,11.711184
361,1.0,5.4971423
362,0.5,7.1343746
363,1.25,7.390344
364,0.75,5.754626
365,3.0,12.262345
366,0.5,10.093478
367,0.25,7.9494586
368,2.25,14.745683
369,0.0,3.7721498
370,2.5,9.845481
371,0.75,12.058518
372,1.5,14.281217
373,1.25,9.908858
374,0.25,7.0790334
375,0.0,12.064553
376,2.5,12.429852
377,0.25,13.569963
378,1.0,11.112446
379,2.25,10.28828
380,2.0,14.30606
381,1.75,11.42916
382,0.75,7.631099
383,1.5,10.34147
384,0.0,9.040153
385,0.0,3.6547964
386,1.25,6.6125283
387,0.25,5.2166715
388,0.5,11.995988
389,0.25,8.708053
390,1.25,10.960158
391,0.5,11.105119
392,1.5,9.182696
393,0.75,8.644171
394,0.0,4.7450185
395,1.25,4.7117906
396,2.25,9.106021
397,1.0,12.693267
398,1.25,8.571549
399,1.5,11.026212
400,2.75,20.020844
401,0.5,9.2795515
402,0.75,12.304872
403,0.5,11.256072
404,0.25,9.035079
405,0.0,5.1151085
406,0.75,8.381081
407,1.5,14.875843
408,0.75,4.676055
409,0.0,4.114732
410,0.5,9.072264
411,0.0,10.737459
412,1.0,9.337905
413,2.75,16.26093
414,0.5,6.246037
415,1.75,9.334352
