,INTIMACY_AVOIDANCE,0
259,1.75,26.788866
260,0.25,18.656391
261,1.0,22.57356
262,0.5,20.295416
263,0.5,20.839191
264,2.75,26.133812
265,0.0,20.266539
266,0.0,21.728628
267,0.0,20.511145
268,1.0,19.538183
269,1.75,25.188402
270,2.25,27.216759
271,1.25,20.799479
272,2.5,20.339745
273,0.0,20.660406
274,1.5,23.779572
275,0.0,17.899158
276,1.25,25.245848
277,0.0,20.954779
278,2.5,22.418713
279,2.25,22.829218
280,0.0,22.67786
281,0.25,15.128176
282,0.0,21.857721
283,1.5,25.72059
284,0.0,20.379614
285,2.0,27.429766
286,0.0,23.601725
287,0.0,24.460863
288,0.75,21.388502
289,1.25,14.194257
290,0.5,23.540195
291,1.0,21.781813
292,0.25,19.620598
293,0.75,20.577808
294,3.0,26.103579
295,0.0,21.479866
296,0.75,21.482681
297,1.0,24.153013
298,0.25,17.912138
299,0.25,22.421013
300,0.25,21.02172
301,0.25,22.486486
302,0.0,20.758104
303,2.0,21.073427
304,2.25,21.35512
305,3.0,28.354673
306,1.0,19.664764
307,0.0,19.315668
308,0.5,22.055864
309,2.25,24.221952
310,1.0,20.131643
311,0.0,20.255484
312,1.5,23.507578
313,1.5,22.023756
314,1.0,24.37087
315,0.0,23.250212
316,0.5,24.590355
317,0.5,20.974882
318,3.0,23.281008
319,2.0,24.079777
320,1.5,23.883575
321,0.25,22.114992
322,0.25,19.729513
323,2.25,25.299654
324,2.5,22.359877
325,0.0,20.101469
326,0.5,22.17759
327,2.25,24.952724
328,2.0,27.914177
329,0.25,25.505379
330,1.0,21.247023
331,1.75,26.288858
332,2.0,24.78474
333,3.0,26.886633
334,2.25,23.949379
335,2.5,23.882118
336,1.25,24.302465
337,2.5,26.63899
338,2.0,24.957624
339,0.5,19.672363
340,0.5,21.450293
341,2.25,23.80282
342,0.0,22.287933
343,1.0,23.856092
344,3.0,25.31991
345,2.0,23.42282
346,1.0,24.44388
347,0.0,19.6117
348,1.75,23.307991
349,0.0,20.050238
350,1.5,23.366583
351,0.0,21.568434
352,0.0,19.015081
353,0.25,15.681065
354,0.0,20.45168
355,2.5,25.055569
356,1.0,24.392393
357,1.75,21.426805
358,0.5,20.5791
359,0.0,19.20192
360,0.75,20.775312
361,0.0,21.535997
362,1.5,22.00969
363,0.0,20.219332
364,1.0,21.392744
365,0.75,26.432455
366,1.0,20.898561
367,0.25,21.845001
368,1.75,22.9178
369,1.25,27.120611
370,1.75,14.914112
371,0.0,19.927565
372,0.25,18.761183
373,0.0,19.743418
374,0.0,16.184416
375,0.75,23.341318
376,1.5,25.174269
377,0.0,19.211115
378,2.25,24.921307
379,2.0,26.75976
380,0.0,20.628965
381,1.75,19.240244
382,0.0,19.523159
383,0.0,20.055464
384,2.75,24.21945
385,1.75,23.379824
386,0.25,22.876444
387,0.0,19.714788
388,0.25,13.7528715
389,2.75,23.908144
390,0.5,22.20593
391,2.25,25.121471
392,0.5,24.515116
393,1.0,23.705214
394,0.75,24.858404
395,0.0,20.081625
396,0.5,23.495558
397,0.0,22.04569
398,3.0,24.077742
399,0.0,22.741846
400,3.0,25.715944
401,0.5,21.132116
402,0.25,23.745295
403,0.25,22.428034
404,0.75,20.810423
405,0.0,21.606783
406,0.0,20.698221
407,1.5,26.147852
408,0.0,20.737307
409,1.25,23.190039
410,0.0,21.93207
411,1.25,18.7209
412,1.0,24.35295
413,0.0,22.268333
414,3.0,26.840117
415,0.75,21.787687
