,TRAUMA_PAST,0
0,10.0,28.442616
1,0.0,29.979818
2,5.0,23.773031
3,6.0,26.863306
4,3.0,24.683905
5,13.0,31.965332
6,11.0,29.132431
7,0.0,25.942583
8,25.0,29.452694
9,6.0,29.700222
10,0.0,25.787542
11,0.0,25.28657
12,21.0,33.692497
13,0.0,28.068283
14,13.0,31.009674
15,9.0,26.344046
16,0.0,26.19951
17,30.0,33.36774
18,0.0,32.51627
19,0.0,31.994564
20,5.0,30.9154
21,19.0,32.614555
22,16.0,29.416023
23,9.0,28.286
24,25.0,29.060472
25,5.0,25.094902
26,14.0,28.164522
27,38.0,32.997917
28,25.0,32.105446
29,38.0,37.622074
30,29.0,31.05113
31,5.0,27.800146
32,14.0,29.391224
33,0.0,23.70747
34,29.0,31.585527
35,7.0,31.318354
36,0.0,28.769714
37,27.0,29.670652
38,30.0,33.438152
39,6.0,25.510582
40,10.0,24.264503
41,0.0,29.232677
42,0.0,22.944757
43,17.0,29.805681
44,33.0,31.118591
45,18.0,30.036438
46,10.0,27.87637
47,18.0,24.914534
48,28.0,31.74435
49,0.0,25.537128
50,0.0,25.471851
51,0.0,26.873377
52,12.0,27.857533
53,28.0,35.22408
54,25.0,31.248514
55,0.0,27.307161
56,9.0,29.409359
57,3.0,25.817245
58,0.0,27.8936
59,0.0,24.873363
60,8.0,27.257692
61,19.0,27.941456
62,0.0,29.361378
63,15.0,31.689724
64,0.0,23.640692
65,22.0,36.21028
66,11.0,29.276264
67,32.0,35.026623
68,10.0,28.188766
69,9.0,28.678345
70,5.0,34.859726
71,0.0,25.817165
72,0.0,29.986776
73,22.0,36.644684
74,4.0,25.333641
75,20.0,30.880613
76,18.0,30.057465
77,28.0,29.952295
78,8.0,26.285248
79,10.0,32.273464
80,0.0,28.118752
81,0.0,23.36337
82,16.0,31.763424
83,0.0,27.808437
84,30.0,32.903633
85,0.0,27.359335
86,17.0,31.71436
87,4.0,26.56877
88,0.0,21.1371
89,3.0,27.73648
90,0.0,25.695786
91,18.0,32.68307
92,0.0,29.197836
93,39.0,34.67956
94,0.0,26.654888
95,13.0,26.287046
96,23.0,31.769947
97,0.0,26.06415
98,0.0,26.800035
99,19.0,28.36437
100,0.0,25.936426
101,0.0,27.399658
102,12.0,24.48462
103,6.0,28.503239
104,12.0,25.764427
105,0.0,24.28064
106,0.0,24.982203
107,1.0,25.702585
108,0.0,29.457697
109,14.0,29.60032
110,1.0,25.410706
111,34.0,33.03049
112,0.0,27.183214
113,0.0,28.539917
114,0.0,27.968246
115,0.0,24.967493
116,5.0,29.23032
117,20.0,30.409317
118,23.0,33.07259
119,31.0,34.119358
120,6.0,29.128582
121,5.0,31.949068
122,21.0,30.455202
123,0.0,33.305634
124,39.0,33.550724
125,0.0,28.563522
126,19.0,33.13702
127,12.0,31.208767
128,0.0,31.180548
129,28.0,34.11477
130,0.0,30.577286
131,1.0,27.588385
132,39.0,40.065807
133,0.0,29.248318
134,18.0,35.87737
135,0.0,25.251945
136,0.0,30.690815
137,21.0,33.38997
138,3.0,26.47321
139,21.0,32.68137
140,30.0,34.24448
141,16.0,30.46025
142,23.0,28.817127
143,3.0,29.027609
144,5.0,27.030298
145,10.0,29.556458
146,12.0,32.582657
147,3.0,30.58966
148,8.0,26.752426
149,11.0,29.017563
150,18.0,36.02734
151,0.0,26.797655
152,8.0,30.197296
153,8.0,31.015572
154,0.0,23.441545
155,0.0,23.261528
156,7.0,29.645967
157,26.0,28.431263
158,37.0,35.439964
159,0.0,26.233463
160,15.0,34.557453
161,3.0,27.484104
162,10.0,32.4347
163,21.0,29.584936
164,0.0,26.792593
165,16.0,29.528269
166,22.0,28.539856
167,16.0,27.880816
168,0.0,22.726215
169,32.0,31.692993
170,17.0,31.678686
171,13.0,27.886206
172,30.0,30.367851
173,40.0,36.460804
174,4.0,24.023716
175,11.0,31.647305
176,0.0,26.610725
177,15.0,28.564007
178,28.0,36.874386
179,0.0,25.23306
180,10.0,29.907673
181,12.0,29.698292
182,19.0,31.720505
183,0.0,27.246986
184,0.0,24.745804
185,15.0,30.547138
186,0.0,28.578873
187,13.0,29.262152
188,3.0,24.907095
189,0.0,31.392073
190,17.0,31.56868
191,0.0,28.07136
192,3.0,28.277254
193,39.0,33.825016
194,5.0,27.415718
195,10.0,29.889908
196,16.0,25.481836
197,0.0,30.393457
198,8.0,26.222708
199,6.0,28.450817
200,25.0,30.710558
201,3.0,27.79224
202,0.0,33.14407
203,0.0,28.611538
204,0.0,29.99921
205,0.0,28.055391
206,0.0,28.192814
207,0.0,26.834547
208,8.0,35.752396
209,1.0,27.827269
210,38.0,30.13549
211,12.0,30.869143
212,18.0,31.863564
213,0.0,22.847715
214,23.0,32.322594
215,33.0,29.3771
216,9.0,24.918036
217,19.0,27.934214
218,16.0,28.023449
219,0.0,23.362011
220,10.0,27.8189
221,17.0,27.503597
222,21.0,30.130096
223,13.0,30.270077
224,20.0,30.874472
225,6.0,33.488243
226,0.0,28.517286
227,11.0,29.417713
228,0.0,26.891344
229,18.0,26.95978
230,4.0,29.864784
231,25.0,32.325245
232,20.0,35.220936
233,25.0,32.436195
234,0.0,26.140238
235,0.0,29.914482
236,10.0,30.520193
237,18.0,27.866219
238,8.0,30.235373
239,20.0,29.52675
240,0.0,23.37456
241,15.0,29.691462
242,33.0,28.499308
243,0.0,30.372902
244,3.0,27.657843
245,18.0,28.445362
246,20.0,32.10601
247,5.0,24.727262
248,3.0,25.583004
249,0.0,29.63107
250,12.0,29.128193
251,16.0,25.418924
252,16.0,28.873095
253,13.0,30.17347
254,0.0,23.851479
