,INTIMACY,0
0,1.333333333,14.844988
1,3.0,17.1895
2,0.0,12.58174
3,0.0,12.795844
4,0.0,12.831732
5,0.0,11.803675
6,0.0,9.9811
7,4.0,17.285902
8,0.0,12.867331
9,0.0,10.358033
10,1.333333333,13.715766
11,2.0,16.05294
12,1.0,15.127945
13,0.0,14.918646
14,1.333333333,15.886151
15,0.0,13.654682
16,0.666666667,10.33316
17,1.333333333,13.547989
18,3.0,14.784122
19,2.666666667,14.877776
20,0.0,12.96406
21,1.333333333,11.850382
22,0.67,13.52158
23,1.666666667,15.527602
24,0.0,12.365566
25,1.33,13.385344
26,2.333333333,14.596696
27,0.0,12.230946
28,0.67,10.96719
29,1.0,14.088159
30,0.0,12.906757
31,0.33,11.307782
32,0.0,12.373015
33,0.0,11.328768
34,0.0,10.902405
35,0.0,11.497166
36,4.0,18.076353
37,2.666666667,16.282633
38,1.0,13.576244
39,0.333333333,12.63156
40,0.0,8.248893
41,0.67,13.524267
42,2.0,12.95346
43,0.0,13.838391
44,1.333333333,14.975847
45,0.33,12.554578
46,1.333333333,13.919158
47,0.0,13.806594
48,0.0,12.210522
49,2.67,16.590773
50,0.0,17.136215
51,4.0,17.329174
