,CHRONIC,0
237,1.941176471,16.152021
238,2.24,16.343544
239,1.0,12.410893
240,2.529411765,13.817681
241,3.058823529,17.832254
242,1.294117647,13.265329
243,1.470588235,9.32381
244,1.705882353,15.481858
245,2.41,20.197872
246,2.176470588,18.09745
247,1.764705882,18.56801
248,1.88,16.647972
249,2.411764706,17.4787
250,1.882352941,14.415287
251,3.0,22.653278
252,1.294117647,13.777611
253,2.176470588,13.082261
254,2.18,17.031427
255,2.235294118,17.354622
256,2.53,17.325964
257,1.76,16.282272
258,1.705882353,14.785402
259,2.59,17.179455
260,1.176470588,12.892966
261,2.117647059,15.413376
262,2.529411765,16.290506
263,1.764705882,13.880444
264,2.82,20.73156
265,1.647058824,15.887861
266,2.117647059,16.678667
267,2.0,15.381543
268,2.18,17.12476
269,1.529411765,16.216713
270,2.470588235,17.60281
271,2.352941176,17.67577
272,2.235294118,12.587165
273,2.47,15.471567
274,1.588235294,17.541338
275,2.529411765,14.740252
276,1.529411765,11.56487
277,1.764705882,10.993107
278,2.176470588,16.103523
279,1.588235294,12.23498
280,1.764705882,14.29585
281,2.76,15.674386
282,1.88,13.876119
283,2.411764706,16.952478
284,2.588235294,15.2891655
285,1.882352941,17.491676
286,2.35,15.541166
287,1.941176471,12.969587
288,1.0,13.636765
289,2.294117647,15.396448
290,2.235294118,17.227898
291,2.53,20.921638
292,1.176470588,14.502729
293,2.94,19.80385
294,2.647058824,18.40502
295,2.12,14.423905
296,1.764705882,14.681789
297,1.294117647,12.721411
298,1.94,18.358673
299,2.647058824,15.87207
300,2.0,16.506481
301,3.12,19.920837
302,1.882352941,13.822445
303,1.94,13.712463
304,2.588235294,17.283188
305,2.176470588,12.426417
306,1.941176471,13.980629
307,1.882352941,15.964123
308,1.53,13.545599
309,1.470588235,13.564956
310,2.06,16.189587
311,1.411764706,14.399325
312,2.29,17.242445
313,2.88,18.29129
314,2.529411765,15.461773
315,2.823529412,18.157375
316,2.294117647,12.922358
317,1.647058824,17.324947
318,1.411764706,13.962408
319,3.06,18.023478
320,1.529411765,12.522518
321,2.76,18.134682
322,2.76,15.435608
323,2.0,15.134653
324,2.65,20.852682
325,2.235294118,15.632696
326,1.88,14.405023
327,1.647058824,14.44818
328,2.411764706,14.439304
329,1.235294118,14.122394
330,2.29,17.798931
331,2.058823529,19.00724
332,1.705882353,15.047249
333,2.705882353,15.388409
334,2.94,23.800987
335,2.235294118,15.847399
336,2.0,13.18512
337,2.647058824,18.492805
338,2.176470588,19.12494
339,1.705882353,16.069529
340,1.176470588,10.16147
341,1.882352941,14.828377
342,1.411764706,14.458962
343,1.294117647,9.392375
344,2.705882353,16.549143
345,2.058823529,19.382732
346,1.235294118,14.415014
347,1.588235294,15.882347
348,2.76,16.356379
349,2.588235294,17.033482
350,1.76,14.195238
351,2.24,16.989738
352,1.588235294,12.66824
353,2.352941176,16.881859
354,2.705882353,18.186924
355,2.294117647,14.497409
356,3.176470588,15.064843
357,1.588235294,14.858196
358,2.941176471,19.137672
359,1.411764706,17.772293
360,2.0,14.265862
361,1.647058824,13.901421
362,2.41,17.467869
363,1.176470588,13.543051
364,3.06,19.653643
365,2.82,18.306555
366,2.0,19.589212
367,2.47,18.98576
368,3.058823529,20.639708
369,2.294117647,17.97702
370,1.882352941,9.778405
371,1.352941176,19.24683
372,1.352941176,13.08422
373,2.235294118,17.648365
374,2.59,16.488214
375,1.588235294,13.30392
376,1.235294118,11.357246
377,2.35,19.023212
378,2.294117647,16.844473
379,1.470588235,15.065213
380,2.235294118,17.29489
381,2.588235294,18.939045
382,2.0,18.41462
383,1.176470588,17.001898
384,1.176470588,13.537601
385,2.235294118,18.294884
386,2.71,19.233015
387,1.176470588,13.427561
388,3.0,16.387566
389,1.294117647,15.099981
390,2.0,13.4436035
391,2.764705882,17.70677
392,1.764705882,12.27878
393,1.882352941,16.758642
394,1.882352941,15.167988
395,1.588235294,12.473875
396,2.941176471,18.545467
397,2.352941176,17.12191
398,1.117647059,14.145247
399,1.235294118,11.18023
400,1.823529412,18.786057
401,3.0,19.28948
402,2.24,15.046586
403,2.176470588,14.565985
404,2.941176471,16.349781
405,1.764705882,16.431715
406,2.29,17.333488
407,2.647058824,18.631794
408,1.352941176,13.028414
409,1.235294118,13.217762
410,2.588235294,15.218111
411,2.176470588,13.127129
412,2.411764706,18.101364
413,1.882352941,13.333839
414,2.117647059,17.475494
415,2.352941176,15.81068
