,CHRONIC,0
0,2.588235294,17.513996
1,2.35,15.779432
2,1.176470588,12.539022
3,2.53,19.51715
4,2.529411765,13.835337
5,2.588235294,18.147192
6,2.823529412,15.88575
7,2.18,16.913088
8,2.352941176,12.573786
9,2.411764706,15.997092
10,2.882352941,20.984018
11,2.47,16.071728
12,2.705882353,20.779533
13,3.0,21.101452
14,1.235294118,9.856601
15,2.117647059,12.748315
16,1.941176471,18.665623
17,2.588235294,13.570166
18,2.176470588,14.537415
19,2.47,15.024786
20,2.29,18.452526
21,2.0,14.142943
22,1.882352941,15.441542
23,1.823529412,15.714493
24,1.823529412,17.411053
25,1.294117647,7.6302543
26,1.411764706,14.8826885
27,1.764705882,14.671638
28,1.235294118,13.460493
29,2.470588235,15.250961
30,1.823529412,15.259301
31,2.82,17.876644
32,3.18,21.315224
33,2.411764706,16.29657
34,2.882352941,21.379467
35,2.411764706,15.786619
36,2.235294118,17.809639
37,2.0,15.139201
38,3.058823529,22.069164
39,1.235294118,12.599865
40,2.588235294,15.116333
41,2.294117647,17.204971
42,2.470588235,16.354736
43,3.0,19.191154
44,2.411764706,14.604776
45,1.529411765,15.216248
46,1.823529412,11.685229
47,2.470588235,16.55968
48,2.53,17.506004
49,2.705882353,17.684574
50,1.117647059,13.299451
51,1.88,15.320312
52,2.12,18.088947
53,2.0,11.659485
54,1.82,16.682215
55,2.352941176,12.776516
56,1.941176471,15.780161
57,1.588235294,12.082064
58,2.647058824,18.70287
59,2.47,17.280157
60,2.176470588,16.441025
61,1.647058824,14.769679
62,1.823529412,14.536904
63,1.588235294,12.732571
64,2.176470588,16.674963
65,1.705882353,17.020187
66,2.411764706,17.644585
67,2.823529412,16.424028
68,1.352941176,14.787066
69,2.18,20.230328
70,2.24,17.107359
71,2.0,16.656284
72,1.705882353,14.388811
73,2.294117647,17.310528
74,2.53,15.647331
75,2.71,17.356848
76,2.588235294,18.949959
77,2.06,13.66485
78,1.235294118,13.118759
79,1.470588235,11.985108
80,2.411764706,17.21726
81,2.352941176,19.033186
82,1.0,13.115243
83,2.0,17.03833
84,1.647058824,17.694946
85,2.470588235,14.382292
86,2.71,22.046448
87,2.35,16.13774
88,1.235294118,17.212982
89,2.176470588,15.829348
90,2.470588235,15.658472
91,1.59,13.729435
92,2.29,17.92054
93,2.294117647,16.809658
94,2.117647059,18.009113
95,2.176470588,16.706547
96,2.647058824,15.409752
97,2.294117647,17.082375
98,2.53,19.55325
99,1.235294118,16.187181
100,2.941176471,20.854147
101,1.18,11.113497
102,2.529411765,20.988876
103,1.941176471,12.688399
104,3.117647059,16.533125
105,2.529411765,17.543404
106,1.941176471,16.905891
107,1.176470588,13.937056
108,2.352941176,15.438595
109,2.06,14.0715065
110,1.529411765,15.56752
111,2.0,12.913797
112,1.647058824,15.969987
113,1.823529412,11.582865
114,2.18,18.061262
115,1.470588235,12.973243
116,2.41,18.194098
117,2.176470588,18.345253
118,2.764705882,13.396064
119,1.0,15.304199
120,1.588235294,17.225548
121,1.294117647,14.114292
122,2.705882353,17.96033
123,1.823529412,14.285017
124,2.24,14.560446
125,1.764705882,13.761629
126,2.529411765,14.436436
127,1.352941176,14.412548
128,1.705882353,13.488264
129,1.411764706,14.228156
130,2.588235294,16.591928
131,1.882352941,14.939724
132,1.058823529,13.395685
133,1.235294118,16.054207
134,1.823529412,16.859337
