,SUICIDE,0
0,0.0,44.388462
1,0.0,39.782623
2,0.0,30.88997
3,2.0,37.615074
4,0.0,27.432539
5,1.0,48.36406
6,0.0,33.72816
7,0.0,32.90745
8,2.0,50.383263
9,0.0,42.65618
10,0.0,33.207813
11,0.0,32.180283
12,0.0,53.497387
13,0.0,35.32342
14,0.0,36.472637
15,0.0,33.764122
16,0.0,54.077274
17,0.0,32.416866
18,0.0,31.911852
19,0.0,34.34422
20,0.0,47.762325
21,0.0,24.909487
22,0.0,34.787262
23,0.0,34.961376
24,0.0,41.339455
25,0.0,34.869873
26,0.0,46.590458
27,0.0,32.014458
28,0.0,29.331795
29,0.0,39.473015
30,0.0,36.83363
31,0.0,38.275036
32,1.0,38.829685
33,0.0,57.06766
34,0.0,42.307663
35,0.0,44.168064
36,0.0,39.712437
37,0.0,32.14466
38,0.0,46.705467
39,0.0,25.544615
40,0.0,30.15816
41,3.0,41.543777
42,0.0,31.584139
43,0.0,43.664055
44,0.0,34.049313
45,0.0,26.288572
46,0.0,39.428932
47,6.0,44.29743
48,0.0,45.788918
49,1.0,37.371593
50,0.0,54.46652
51,0.0,39.525112
52,0.0,25.300657
53,0.0,40.764263
54,0.0,44.97376
55,0.0,23.76352
56,0.0,33.00595
57,2.0,44.014866
58,0.0,29.15251
59,0.0,45.161285
60,0.0,43.691856
61,0.0,31.458143
62,4.0,43.72588
63,0.0,34.001156
64,0.0,36.040497
65,0.0,33.688198
66,0.0,30.091581
67,0.0,34.511906
68,0.0,40.396187
69,1.0,38.24741
70,2.0,28.611834
71,0.0,30.706045
72,0.0,33.51392
73,0.0,19.82296
74,0.0,38.58002
75,0.0,33.752243
76,0.0,31.112003
77,0.0,33.901073
78,0.0,39.47911
79,0.0,31.949308
80,0.0,36.2788
81,0.0,35.058495
82,0.0,25.567163
83,0.0,48.152405
84,0.0,29.580046
85,2.0,29.104485
86,0.0,31.66599
87,4.0,43.045753
88,0.0,33.042057
89,0.0,28.957073
90,0.0,26.947884
91,0.0,36.9324
92,0.0,40.920334
93,0.0,26.516962
94,1.0,39.99557
95,0.0,41.45271
96,0.0,27.182514
97,0.0,25.69365
98,0.0,32.720623
99,0.0,45.432755
100,0.0,42.443733
101,0.0,38.505035
102,1.0,34.212757
103,0.0,30.820461
104,0.0,38.700687
105,0.0,27.253942
106,0.0,36.676308
107,0.0,53.931458
108,0.0,47.65817
109,0.0,37.862183
110,1.0,46.82509
111,0.0,50.998856
112,3.0,32.174328
113,1.0,20.303963
114,0.0,45.335426
115,0.0,34.45359
116,0.0,29.883944
117,0.0,33.016857
118,0.0,42.583767
119,3.0,52.410076
120,0.0,35.746105
121,0.0,38.591793
122,0.0,26.954256
123,0.0,25.318123
124,0.0,37.542015
125,0.0,35.65115
126,0.0,25.980682
127,0.0,32.199436
128,0.0,42.746746
129,2.0,44.02261
130,0.0,35.969643
131,0.0,22.819096
132,0.0,31.553162
133,0.0,46.45817
134,0.0,30.013355
135,0.0,30.193794
136,0.0,35.66162
137,0.0,42.966137
138,0.0,41.80865
139,0.0,53.778576
140,0.0,39.775932
141,0.0,30.453905
142,0.0,44.828983
143,0.0,36.34812
144,0.0,34.69301
